epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,26.9795,0.58903,0.83148,1,0.3992,0.00332657,0.00332657,0.00332657
2,53.5361,0.49366,0.84136,1,0.39068,0.00662694,0.00662694,0.00662694
3,79.1273,0.63832,0.72846,1,0.56095,0.00989431,0.00989431,0.00989431
4,105.267,1.32221,0.52698,1,0.69429,0.0098515,0.0098515,0.0098515
5,131.543,0.78943,0.58737,1,0.66739,0.009802,0.009802,0.009802
6,157.703,0.63589,0.62755,1,0.62011,0.0097525,0.0097525,0.0097525
7,183.789,0.57026,0.76332,1,0.53509,0.009703,0.009703,0.009703
8,210.068,0.53663,0.79263,1,0.47126,0.0096535,0.0096535,0.0096535
9,235.955,0.49739,0.77609,1,0.44123,0.009604,0.009604,0.009604
10,262.619,0.47248,0.84813,1,0.35954,0.0095545,0.0095545,0.0095545
11,288.661,0.461,0.80606,1,0.41864,0.009505,0.009505,0.009505
12,314.836,0.44643,0.80284,1,0.43895,0.0094555,0.0094555,0.0094555
13,341.075,0.42711,0.51532,1,1.77117,0.009406,0.009406,0.009406
14,367.361,0.4274,0.87678,1,0.32336,0.0093565,0.0093565,0.0093565
15,394.344,0.4144,0.82993,1,0.3791,0.009307,0.009307,0.009307
16,420.326,0.40478,0.90198,1,0.24738,0.0092575,0.0092575,0.0092575
17,446.671,0.39225,0.84203,1,0.35735,0.009208,0.009208,0.009208
18,472.957,0.38032,0.83814,1,0.35704,0.0091585,0.0091585,0.0091585
19,498.953,0.36411,0.84436,1,0.35323,0.009109,0.009109,0.009109
20,525.228,0.37294,0.84214,1,0.35764,0.0090595,0.0090595,0.0090595
21,551.434,0.37324,0.82294,1,0.40064,0.00901,0.00901,0.00901
22,578.086,0.3652,0.82116,1,0.42483,0.0089605,0.0089605,0.0089605
23,604.104,0.35809,0.82971,1,0.3931,0.008911,0.008911,0.008911
24,630.418,0.35709,0.83037,1,0.39683,0.0088615,0.0088615,0.0088615
25,657.063,0.35007,0.84303,1,0.36777,0.008812,0.008812,0.008812
26,683.215,0.3458,0.83415,1,0.38746,0.0087625,0.0087625,0.0087625
27,709.035,0.33643,0.8327,1,0.38908,0.008713,0.008713,0.008713
28,734.989,0.32911,0.83504,1,0.38548,0.0086635,0.0086635,0.0086635
29,761.209,0.33241,0.83315,1,0.3903,0.008614,0.008614,0.008614
30,787.574,0.33625,0.83182,1,0.3982,0.0085645,0.0085645,0.0085645
31,813.895,0.34331,0.82738,1,0.40979,0.008515,0.008515,0.008515
32,840.031,0.32387,0.82815,1,0.40585,0.0084655,0.0084655,0.0084655
33,865.812,0.32739,0.8266,1,0.41284,0.008416,0.008416,0.008416
34,892.349,0.32632,0.82449,1,0.41713,0.0083665,0.0083665,0.0083665
35,918.85,0.32113,0.82371,1,0.41896,0.008317,0.008317,0.008317
36,944.99,0.31676,0.8236,1,0.41817,0.0082675,0.0082675,0.0082675
37,971.174,0.32385,0.82205,1,0.41984,0.008218,0.008218,0.008218
38,997.502,0.32047,0.8226,1,0.41661,0.0081685,0.0081685,0.0081685
39,1023.34,0.31331,0.82138,1,0.41831,0.008119,0.008119,0.008119
40,1049.26,0.31176,0.82149,1,0.42101,0.0080695,0.0080695,0.0080695
41,1075.41,0.31422,0.82194,1,0.41849,0.00802,0.00802,0.00802
42,1101.64,0.30529,0.82138,1,0.41738,0.0079705,0.0079705,0.0079705
43,1127.63,0.30042,0.82105,1,0.42047,0.007921,0.007921,0.007921
44,1153.61,0.29469,0.82205,1,0.41878,0.0078715,0.0078715,0.0078715
45,1180.83,0.29638,0.82183,1,0.4196,0.007822,0.007822,0.007822
46,1206.92,0.30685,0.82171,1,0.42204,0.0077725,0.0077725,0.0077725
47,1232.94,0.30529,0.82083,1,0.42555,0.007723,0.007723,0.007723
